City,CODIGO,production_value,soy_production,average_yield,number_of_establishments
Aceguá,4300034,86532,80336,2.94292622170122,117
Agudo,4300109,3649,3493,3.23126734505088,56
Ajuricaba,4300208,74313,73602,3.64890188885033,650
Alecrim,4300307,7036,7220,2.96752979860255,258
Alegrete,4300406,127718,124531,3.13964804356595,93
Alegria,4300455,21366,21292,3.16609665427509,340
Almirante Tamandaré do Sul,4300471,71237,65463,3.93833473709542,358
Alpestre,4300505,1941,1817,2.44878706199461,56
Alto Alegre,4300554,23131,22536,3.55625690389774,318
Amaral Ferrador,4300638,6692,6042,2.66402116402116,14
Ametista do Sul,4300646,609,586,2.46218487394958,18
André da Rocha,4300661,46260,43325,3.58769460086121,103
Anta Gorda,4300703,1353,1308,3.61325966850829,29
Antônio Prado,4300802,185,175,2.86885245901639,6
Arambaré,4300851,33505,30408,2.93626882966396,60
Aratiba,4300901,3966,3789,3.68579766536965,93
Arroio Grande,4301305,134888,125421,3.14914505235142,145
Arroio do Meio,4301008,3698,3647,3.36439114391144,93
Arroio do Padre,4301073,1688,1595,2.88949275362319,18
Arroio do Tigre,4301206,26663,25872,3.55433438659156,524
Arroio dos Ratos,4301107,10038,9677,2.97937192118227,24
Arvorezinha,4301404,4872,4777,3.25630538513974,83
Augusto Pestana,4301503,60348,59953,3.10042922893934,705
Bagé,4301602,163861,148832,3.01657951274879,138
Barra Funda,4301958,11817,11379,3.82230433322136,183
Barra do Guarita,4301859,2560,2562,2.59311740890688,53
Barra do Ribeiro,4301909,14983,12939,2.57697669786895,23
Barra do Rio Azul,4301925,1630,1532,3.43497757847534,44
Barracão,4301800,59528,57724,3.58935455789081,527
Barros Cassal,4302006,23130,22983,3.14447940894787,104
Barão de Cotegipe,4301701,23700,22908,3.57156220767072,538
Barão do Triunfo,4301750,1536,1347,3.1108545034642,18
Benjamin Constant do Sul,4302055,4047,3884,3.79296875,104
Boa Vista das Missões,4302154,43430,42285,3.67727628489434,131
Boa Vista do Buricá,4302204,7446,7291,3.09596602972399,186
Boa Vista do Cadeado,4302220,143504,137970,3.45252990340824,353
Boa Vista do Incra,4302238,119951,114869,3.49901002162722,266
Bom Jesus,4302303,34890,32166,3.12230634828189,40
Bom Progresso,4302378,10672,10703,3.41185846350016,94
Bom Retiro do Sul,4302402,689,665,2.66,16
Boqueirão do Leão,4302451,1210,1237,3.22976501305483,7
Bossoroca,4302501,130875,130235,3.12082145167861,379
Bozano,4302584,42927,42391,3.14800237635527,327
Braga,4302600,22913,23820,3.35256861365236,234
Brochier,4302659,9,9,2.25,3
Butiá,4302709,33779,32598,3.23746151554275,55
Cacequi,4302907,96002,90735,2.89204436794798,86
Cachoeira do Sul,4303004,314388,296988,2.98052045803519,518
Cacique Doble,4303202,32036,31301,3.60361501266406,700
Caibaté,4303301,39663,39664,3.29928464481783,206
Caiçara,4303400,6044,5951,2.81105337742088,118
Camaquã,4303509,52895,47950,2.63432589825294,163
Camargo,4303558,21723,21028,3.39051918735892,329
Cambará do Sul,4303608,2994,2402,3.04050632911392,7
Campestre da Serra,4303673,30793,28149,3.63635189252035,42
Campina das Missões,4303707,15172,15596,3.20575539568345,331
Campinas do Sul,4303806,55510,52459,3.93245877061469,307
Campo Novo,4304002,40413,39721,3.6809378185525,191
Campos Borges,4304101,33993,33859,3.36838440111421,273
Candelária,4304200,53391,52266,3.14079682711376,374
Candiota,4304358,50435,48488,2.84537292412417,126
Canguçu,4304507,116047,108971,2.75785184622782,1033
Capivari do Sul,4304671,7587,6777,2.88874680306905,17
Capão Bonito do Sul,4304622,98360,90493,3.8502744330511,176
Capão do Cipó,4304655,179273,174767,2.52236350253294,294
Capão do Leão,4304663,33432,29181,3.12564267352185,44
Carazinho,4304705,185160,172005,4.10532722325648,274
Carlos Gomes,4304853,9736,8925,3.3781226343679,200
Casca,4304903,35233,33776,3.86497310905138,419
Caseiros,4304952,32377,29997,3.66442707060836,202
Catuípe,4305009,121826,119275,3.33599037869889,641
Caxias do Sul,4305108,1477,1292,3.59888579387187,6
Caçapava do Sul,4302808,96486,90896,2.83562626735299,162
Centenário,4305116,17612,16891,3.36407090221071,339
Cerrito,4305124,18882,17254,2.68837644125896,54
Cerro Branco,4305132,1554,1514,3.32747252747253,21
Cerro Grande,4305157,7062,6715,3.1437265917603,63
Cerro Grande do Sul,4305173,451,432,2.7515923566879,5
Cerro Largo,4305207,14685,14987,3.26585312704293,261
Chapada,4305306,158016,153829,3.9641541038526,990
Charqueadas,4305355,5168,5334,3.44129032258065,9
Charrua,4305371,32319,30736,3.63309692671395,403
Chiapetta,4305405,93940,89983,3.58984281496848,313
Ciríaco,4305504,49689,46482,3.7209414024976,355
Colinas,4305587,2285,2208,3.3203007518797,62
Colorado,4305603,85249,81321,4.17802096177559,391
Condor,4305702,115742,109518,3.86893701204649,438
Constantina,4305801,33471,32079,3.52477749697835,534
Coqueiros do Sul,4305850,56243,52527,3.72664065271373,352
Coronel Barros,4305871,32938,33017,3.26513053797468,329
Coronel Bicaco,4305900,103310,104405,3.66964254332009,546
Coronel Pilar,4305934,58,60,3.52941176470588,3
Cotiporã,4305959,1762,1672,3.49790794979079,49
Coxilha,4305975,100295,92534,4.0758490067392,266
Crissiumal,4306007,23866,23953,2.75892651462797,519
Cristal,4306056,22955,20354,2.64509421702404,76
Cristal do Sul,4306072,9142,9145,2.56954200618151,177
Cruz Alta,4306106,354114,335237,3.68911215776037,376
Cruzaltense,4306130,27528,26429,3.59578231292517,390
