City;CODIGO;production_value;soy_production;average_yield;number_of_establishments
Aceguá;4300034;45000;30000;2;117
Água Santa;4300059;62981;54015;3.9;460
Agudo;4300109;3186;2550;3;56
Ajuricaba;4300208;89136;72000;3.6;650
Alecrim;4300307;7181;6000;3;258
Alegrete;4300406;126000;84000;2.4;93
Alegria;4300455;26880;22461;3;340
Almirante Tamandaré do Sul;4300471;85407;70877;4.14001168224299;358
Alpestre;4300505;2478;2211;2.45666666666667;56
Alto Alegre;4300554;24934;20136;3.31184210526316;318
Amaral Ferrador;4300638;3633;3150;2.1;14
Ametista do Sul;4300646;1671;1425;2.85;18
André da Rocha;4300661;75557;64800;3.6;103
Anta Gorda;4300703;1116;983;3.64074074074074;29
Arambaré;4300851;19759;17034;2.04097771387491;60
Aratiba;4300901;5304;4680;3.9;93
Arroio do Meio;4301008;4159;3602;3.27454545454545;93
Arroio do Padre;4301073;898;675;1.5;18
Arroio dos Ratos;4301107;10080;8400;2.4;24
Arroio do Tigre;4301206;31752;32400;3.6;524
Arroio Grande;4301305;89505;68850;1.62;145
Arvorezinha;4301404;3677;3240;3.6;83
Augusto Pestana;4301503;80096;64710;3.29816513761468;705
Áurea;4301552;31317;25740;3.6;439
Bagé;4301602;120750;80500;2.3;138
Balneário Pinhal;4301636;165;150;3;1
Barão de Cotegipe;4301701;24690;21163;3.30001559332606;538
Barão do Triunfo;4301750;1625;1250;2.5;18
Barracão;4301800;122073;96348;3.72;527
Barra do Guarita;4301859;4374;4860;2.7;53
Barra do Quaraí;4301875;1575;1050;3.5;1
Barra do Ribeiro;4301909;13494;11700;3;23
Barra do Rio Azul;4301925;4750;3654;4.2;44
Barra Funda;4301958;17280;14688;4.32;183
Barros Cassal;4302006;33828;27030;3.18;104
Benjamin Constant do Sul;4302055;5467;4620;3.3;104
Boa Vista das Missões;4302154;59332;49110;3.31824324324324;131
Boa Vista do Buricá;4302204;11489;9600;3;186
Boa Vista do Cadeado;4302220;184052;148770;3.60917030567686;353
Boa Vista do Incra;4302238;137766;103350;3.63908450704225;266
Bom Jesus;4302303;20855;27900;3.1;40
Bom Progresso;4302378;14256;15840;3.6;94
Bom Retiro do Sul;4302402;480;688;2.752;16
Boqueirão do Leão;4302451;2140;1740;3;7
Bossoroca;4302501;172499;137340;3.052;379
Bozano;4302584;57938;46800;3.6;327
Braga;4302600;23225;25806;3.3;234
Butiá;4302709;19845;16200;1.8;55
Caçapava do Sul;4302808;49500;33000;2.5;162
